RX_MMSI,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,ROT,SOG,Position_Accuracy,Longitude,Latitude,COG,True_Heading,Time_Stamp,Ship_and_Cargo_Type,Reference_Position_A,Reference_Position_B,Reference_Position_C,Reference_Position_D,Fixing_Device,ETA,MAX_Draught,Destination,DTE,Record_Time
004161805,,,JANG  BIN  NO1      ,416003175,15,-128,0.3,0,120.335720,24.041842,258.9,511,60,0,0,0,0,0,0,,,,1,2021-09-14 05:20:11
66,, ,,416006013,15,128,8,1,120.341930,24.077560,55.8,511,7,30,10,10,2,2,,,,,,2021-09-14 05:20:09
004161805,, ,,416006013,15,128,7.9,1,120.343303,24.078267,67,511,47,30,10,10,2,2,,,,,,2021-09-14 05:20:48
004161805,, ,,416006013,15,128,8.1,1,120.342622,24.077900,67,511,27,30,10,10,2,2,,,,,,2021-09-14 05:20:28
004161805,, ,,416006013,15,128,7.8,1,120.343377,24.078293,68.3,511,49,30,10,10,2,2,,,,,,2021-09-14 05:20:50
004161805,, ,,416006013,15,128,8,1,120.341930,24.077560,55.8,511,7,30,10,10,2,2,,,,,,2021-09-14 05:20:08
004161805,, ,,416006013,15,128,7.7,1,120.345450,24.079335,57.3,511,48,30,10,10,2,2,,,,,,2021-09-14 05:21:49
004161805,, ,,416006013,15,128,8.1,1,120.344748,24.078973,57.1,511,28,30,10,10,2,2,,,,,,2021-09-14 05:21:29
004161805,, ,,416006013,15,128,8.1,1,120.344043,24.078632,55.9,511,8,30,10,10,2,2,,,,,,2021-09-14 05:21:09
004161805,0,,JANG  BIN  NO1      ,416003175,15,-128,0.3,0,120.335667,24.041818,258.9,511,60,0,0,0,0,0,0,2021-01-01 00:00:00,0,,1,2021-09-14 05:21:41
004161805,, ,,416006013,15,128,8,1,120.346213,24.079738,56.3,511,10,30,10,10,2,2,,,,,,2021-09-14 05:22:11
004161805,, ,,416006013,15,128,7.6,1,120.347582,24.080428,67,511,49,30,10,10,2,2,,,,,,2021-09-14 05:22:50
004161805,, ,,416006013,15,128,7.9,1,120.346845,24.080070,63.4,511,28,30,10,10,2,2,,,,,,2021-09-14 05:22:30
004161805,, ,,416006013,15,128,7.6,1,120.346147,24.079698,59.2,511,8,30,10,10,2,2,,,,,,2021-09-14 05:22:09
004161805,0,,JANG  BIN  NO1      ,416003175,0,0,0.3,0,120.335653,24.041812,258.9,511,0,0,0,0,0,0,0,2021-01-01 00:00:00,0,,1,2021-09-14 05:22:01
004161805,0,,JANG  BIN  NO1      ,416003175,15,128,0.8,0,120.335653,24.041812,265.2,511,60,0,0,0,0,0,0,2021-01-01 00:00:00,0,,1,2021-09-14 05:22:13
